"X","M","Y","Indirect","Indirect_p","Total","Total_p","CFI","TLI","RMSEA","SRMR"
"F1","F2","F3",0.5997,0,1.0471,0,0.9558,0.9444,0.0733,0.0847
"F1","F2","F4",0.1795,0.0084,0.9921,0,0.9373,0.9211,0.0749,0.0862
"F1","F2","F5",0.1997,4e-04,0.9374,0,0.9698,0.9636,0.0607,0.0787
"F1","F2","F6",0.1729,0.0015,0.7506,0,0.9429,0.9311,0.0735,0.0907
"F1","F3","F2",-0.3114,0.0034,-0.3738,0.0015,0.9558,0.9444,0.0733,0.0847
"F1","F3","F4",0.3468,0,0.9816,0,0.9819,0.9773,0.0457,0.0669
"F1","F3","F5",0.2163,0.0028,0.9701,0,0.9964,0.9956,0.0228,0.0592
"F1","F3","F6",0.1995,5e-04,0.7275,0,0.9778,0.9733,0.0516,0.0787
"F1","F4","F2",-0.1506,0.0234,-0.3276,0.004,0.9373,0.9211,0.0749,0.0862
"F1","F4","F3",0.5598,3e-04,1.0221,0,0.9819,0.9773,0.0457,0.0669
"F1","F4","F5",0.2283,0.0136,0.9453,0,0.9952,0.9942,0.0247,0.0599
"F1","F4","F6",0.4099,0,0.7701,0,0.981,0.977,0.045,0.0721
"F1","F5","F2",-0.2695,0.0052,-0.3821,9e-04,0.9698,0.9636,0.0607,0.0787
"F1","F5","F3",0.5107,0.0026,0.8901,0,0.9964,0.9956,0.0228,0.0592
"F1","F5","F4",0.3166,0.002,0.8147,0,0.9952,0.9942,0.0247,0.0599
"F1","F5","F6",0.6568,0,0.7396,0,0.9913,0.9898,0.0349,0.0699
"F1","F6","F2",-0.1494,0.0074,-0.2493,0.0087,0.9429,0.9311,0.0735,0.0907
"F1","F6","F3",0.3967,0.002,0.8528,0,0.9778,0.9733,0.0516,0.0787
"F1","F6","F4",0.4146,0,0.8378,0,0.981,0.977,0.045,0.0721
"F1","F6","F5",0.493,0,0.845,0,0.9913,0.9898,0.0349,0.0699
"F2","F1","F3",-0.3224,0.0049,-1.9269,0,0.9558,0.9444,0.0733,0.0847
"F2","F1","F4",-0.6187,0.0018,-1.1665,0.0037,0.9373,0.9211,0.0749,0.0862
"F2","F1","F5",-0.5835,2e-04,-1.1062,2e-04,0.9698,0.9636,0.0607,0.0787
"F2","F1","F6",-0.6294,0.0044,-1.3229,0.0125,0.9429,0.9311,0.0735,0.0907
"F2","F3","F1",-0.5184,0.0062,-0.7208,3e-04,0.9558,0.9444,0.0733,0.0847
"F2","F3","F4",-1.2533,0.0029,-1.372,0.0066,0.9967,0.9957,0.0224,0.0576
"F2","F3","F5",-0.6509,0.0071,-1.2625,4e-04,0.9994,0.9993,0.0099,0.0552
"F2","F3","F6",-0.7172,0.0101,-1.3825,0.0125,0.9968,0.9961,0.0217,0.0634
"F2","F4","F1",-0.4549,0.014,-0.7613,0.0028,0.9373,0.9211,0.0749,0.0862
"F2","F4","F3",-0.627,0.0079,-2.5136,7e-04,0.9967,0.9957,0.0224,0.0576
"F2","F4","F5",-0.5532,0.0094,-1.3469,0.0023,1,1.0012,0,0.0552
"F2","F4","F6",-0.9518,0.0526,-1.8203,0.0471,1,1.0104,0,0.0519
"F2","F5","F1",-0.6323,0.0043,-0.7909,7e-04,0.9698,0.9636,0.0607,0.0787
"F2","F5","F3",-0.4152,0.0163,-1.9776,0,0.9994,0.9993,0.0099,0.0552
"F2","F5","F4",-0.7248,0.0098,-1.1278,0.0083,1,1.0012,0,0.0552
"F2","F5","F6",-1.1167,0.0146,-1.3407,0.0164,0.9994,0.9993,0.0092,0.062
"F2","F6","F1",-0.7483,0.0167,-1.0895,0.0076,0.9429,0.9311,0.0735,0.0907
"F2","F6","F3",-0.5108,0.0186,-2.455,9e-04,0.9968,0.9961,0.0217,0.0634
"F2","F6","F4",-1.2707,0.0413,-1.6531,0.0392,1,1.0104,0,0.0519
"F2","F6","F5",-1.0611,0.007,-1.3758,0.0046,0.9994,0.9993,0.0092,0.062
"F3","F1","F2",-0.0208,0.3016,-0.3182,0,0.9558,0.9444,0.0733,0.0847
"F3","F1","F4",0.2109,1e-04,0.5502,0,0.9819,0.9773,0.0457,0.0669
"F3","F1","F5",0.3072,0,0.5502,0,0.9964,0.9956,0.0228,0.0592
"F3","F1","F6",0.2278,2e-04,0.4618,0,0.9778,0.9733,0.0516,0.0787
"F3","F2","F1",0.0644,0.3102,0.3334,0,0.9558,0.9444,0.0733,0.0847
"F3","F2","F4",0.027,0.7668,0.5257,0,0.9967,0.9957,0.0224,0.0576
"F3","F2","F5",0.1859,0.0288,0.5151,0,0.9994,0.9993,0.0099,0.0552
"F3","F2","F6",0.1546,0.0942,0.4468,0,0.9968,0.9961,0.0217,0.0634
"F3","F4","F1",0.1859,1e-04,0.3323,0,0.9819,0.9773,0.0457,0.0669
"F3","F4","F2",-0.0067,0.7646,-0.2278,0.0011,0.9967,0.9957,0.0224,0.0576
"F3","F4","F5",0.2264,1e-04,0.5213,0,1,1.0056,0,0.048
"F3","F4","F6",0.2882,1e-04,0.4573,0,1,1.0018,0,0.0552
"F3","F5","F1",0.2866,0,0.4076,0,0.9964,0.9956,0.0228,0.0592
"F3","F5","F2",-0.051,0.0479,-0.304,1e-04,0.9994,0.9993,0.0099,0.0552
"F3","F5","F4",0.2153,2e-04,0.518,0,1,1.0056,0,0.048
"F3","F5","F6",0.3937,0,0.4749,0,1,1.0023,0,0.0586
"F3","F6","F1",0.2393,0,0.4314,0,0.9778,0.9733,0.0516,0.0787
"F3","F6","F2",-0.0377,0.0581,-0.2324,0.0018,0.9968,0.9961,0.0217,0.0634
"F3","F6","F4",0.2806,0,0.5507,0,1,1.0018,0,0.0552
"F3","F6","F5",0.4011,0,0.526,0,1,1.0023,0,0.0586
"F4","F1","F2",-0.0817,0.0826,-0.2335,7e-04,0.9373,0.9211,0.0749,0.0862
"F4","F1","F3",0.2089,0.0219,0.7792,0,0.9819,0.9773,0.0457,0.0669
"F4","F1","F5",0.4119,0,0.692,0,0.9952,0.9942,0.0247,0.0599
"F4","F1","F6",0.2089,0.0041,0.6982,0,0.981,0.977,0.045,0.0721
"F4","F2","F1",0.0716,0.0277,0.4615,0,0.9373,0.9211,0.0749,0.0862
"F4","F2","F3",0.3684,0,0.8253,0,0.9967,0.9957,0.0224,0.0576
"F4","F2","F5",0.192,2e-04,0.6825,0,1,1.0012,0,0.0552
"F4","F2","F6",0.1361,0.0041,0.7119,0,1,1.0104,0,0.0519
"F4","F3","F1",0.1141,0.0144,0.4519,0,0.9819,0.9773,0.0457,0.0669
"F4","F3","F2",-0.1825,0.011,-0.1952,0.0023,0.9967,0.9957,0.0224,0.0576
"F4","F3","F5",0.2417,0.0018,0.6789,0,1,1.0056,0,0.048
"F4","F3","F6",0.1312,0.0323,0.6545,0,1,1.0018,0,0.0552
"F4","F5","F1",0.3122,0,0.5744,0,0.9952,0.9942,0.0247,0.0599
"F4","F5","F2",-0.1441,0.0068,-0.2419,0.0019,1,1.0012,0,0.0552
"F4","F5","F3",0.3153,3e-04,0.8196,0,1,1.0056,0,0.048
"F4","F5","F6",0.4438,0,0.7334,0,1,1.0081,0,0.0517
"F4","F6","F1",0.2292,0.0032,0.5799,0,0.981,0.977,0.045,0.0721
"F4","F6","F2",-0.1038,0.0321,-0.1568,0.0193,1,1.0104,0,0.0519
"F4","F6","F3",0.2518,0.0142,0.776,0,1,1.0018,0,0.0552
"F4","F6","F5",0.6063,0,0.655,0,1,1.0081,0,0.0517
"F5","F1","F2",-0.0707,0.3149,-0.3582,0,0.9698,0.9636,0.0607,0.0787
"F5","F1","F3",0.2324,0.116,0.7589,0,0.9964,0.9956,0.0228,0.0592
"F5","F1","F4",0.3088,0.0016,0.6437,0,0.9952,0.9942,0.0247,0.0599
"F5","F1","F6",0.0608,0.4883,0.8381,0,0.9913,0.9898,0.0349,0.0699
"F5","F2","F1",0.0568,0.2478,0.6284,0,0.9698,0.9636,0.0607,0.0787
"F5","F2","F3",0.4707,0,0.7995,0,0.9994,0.9993,0.0099,0.0552
"F5","F2","F4",0.1107,0.0429,0.6488,0,1,1.0012,0,0.0552
"F5","F2","F6",0.0602,0.1942,0.8719,0,0.9994,0.9993,0.0092,0.062
"F5","F3","F1",0.0918,0.0482,0.6126,0,0.9964,0.9956,0.0228,0.0592
"F5","F3","F2",-0.2023,0.0019,-0.3013,0,0.9994,0.9993,0.0099,0.0552
"F5","F3","F4",0.2403,1e-04,0.6533,0,1,1.0056,0,0.048
"F5","F3","F6",0.0637,0.1652,0.8121,0,1,1.0023,0,0.0586
"F5","F4","F1",0.1688,0.0022,0.6199,0,0.9952,0.9942,0.0247,0.0599
"F5","F4","F2",-0.0634,0.0705,-0.2746,5e-04,1,1.0012,0,0.0552
"F5","F4","F3",0.3295,1e-04,0.7939,0,1,1.0056,0,0.048
"F5","F4","F6",0.1961,0.0013,0.8736,0,1,1.0081,0,0.0517
"F5","F6","F1",0.1063,0.4861,0.735,0,0.9913,0.9898,0.0349,0.0699
"F5","F6","F2",-0.1013,0.1884,-0.2688,0.0013,0.9994,0.9993,0.0092,0.062
"F5","F6","F3",0.2928,0.1529,0.7837,0,1,1.0023,0,0.0586
"F5","F6","F4",0.5849,3e-04,0.6772,0,1,1.0081,0,0.0517
"F6","F1","F2",-0.0656,0.1637,-0.2646,0.0023,0.9429,0.9311,0.0735,0.0907
"F6","F1","F3",0.3114,0.02,0.8567,0,0.9778,0.9733,0.0516,0.0787
"F6","F1","F4",0.257,0.0021,0.7953,0,0.981,0.977,0.045,0.0721
"F6","F1","F5",0.2468,0.0021,0.9134,0,0.9913,0.9898,0.0349,0.0699
"F6","F2","F1",0.0903,0.0664,0.6559,0,0.9429,0.9311,0.0735,0.0907
"F6","F2","F3",0.4889,0,0.8584,0,0.9968,0.9961,0.0217,0.0634
"F6","F2","F4",0.0713,0.1609,0.7694,0,1,1.0104,0,0.0519
"F6","F2","F5",0.0827,0.0416,0.8741,0,0.9994,0.9993,0.0092,0.062
"F6","F3","F1",0.1646,0.0042,0.6828,0,0.9778,0.9733,0.0516,0.0787
"F6","F3","F2",-0.1672,0.0306,-0.2515,0.0028,0.9968,0.9961,0.0217,0.0634
"F6","F3","F4",0.2223,0.0016,0.8358,0,1,1.0018,0,0.0552
"F6","F3","F5",0.1031,0.0425,0.9478,0,1,1.0023,0,0.0586
"F6","F4","F1",0.2788,0.0018,0.6072,0,0.981,0.977,0.045,0.0721
"F6","F4","F2",-0.0407,0.2064,-0.1866,0.021,1,1.0104,0,0.0519
"F6","F4","F3",0.4381,4e-04,0.8228,0,1,1.0018,0,0.0552
"F6","F4","F5",0.0365,0.5922,0.8632,0,1,1.0081,0,0.0517
"F6","F5","F1",0.5742,8e-04,0.701,0,0.9913,0.9898,0.0349,0.0699
"F6","F5","F2",-0.1464,0.1136,-0.2626,0.0043,0.9994,0.9993,0.0092,0.062
"F6","F5","F3",0.4653,0.0361,0.8258,0,1,1.0023,0,0.0586
"F6","F5","F4",0.0797,0.5942,0.7492,0,1,1.0081,0,0.0517
